ID;Name_Validity;Division;Class;Sublass;Order;Family;Rank;Name;Author;Czech_name;presence;RL_Evaluation
334;V;10008;10027;10028;10029;10034;34;Tritomaria exsecta;(Schmidel) Schiffn. ex Loeske;palèice vykrojená;Y;LC
335;V;10008;10027;10028;10029;10034;34;Tritomaria exsectiformis;(Breidl.) Schiffn. ex Loeske;palèice vykrajovaná;Y;LC-att
336;V;10008;10027;10028;10029;10034;34;Tritomaria scitula;(Taylor) J?rg.;palèice vkusná;N;NE
337;V;10070;10087;10124;10145;10161;28;Abietinella;Müll.Hal.;zpeøenka;Y;
338;V;10070;10087;10124;10145;10161;34;Abietinella abietina;(Hedw.) M.Fleisch.;zpeøenka jedlová;Y;NE
339;V;10070;10087;10124;10145;10161;36;Abietinella abietina var. abietina;\N;zpeøenka jedlová pravá;Y;LC
340;V;10070;10087;10124;10145;10161;36;Abietinella abietina var. hystricosa;(Mitt.) Sakurai;zpeøenka jedlová jeatá;Y;DD
341;V;10070;10087;10102;10112;10123;28;Acaulon;Müll.Hal.;bezprutka;Y;
342;V;10070;10087;10102;10112;10123;34;Acaulon muticum;(Schreb. ex Hedw.) Müll.Hal.;bezprutka tupá;Y;LC-att
343;V;10070;10087;10102;10112;10123;34;Acaulon triquetrum;(Spruce) Müll.Hal.;bezprutka tøíboká;Y;VU
344;V;10070;10087;10124;10145;10154;28;Alleniella;S.Olsson, Enroth & D.Quandt;sourubka;Y;
345;V;10070;10087;10124;10145;10154;34;Alleniella besseri;(Lobarzewski) S.Olsson, Enroth & D.Quandt;sourubka tupolistá;Y;LC
346;V;10070;10087;10124;10145;10154;34;Alleniella complanata;(Hedw.) S.Olsson, Enroth & D.Quandt;sourubka hladká;Y;LC
347;V;10070;10087;10102;10112;10123;28;Aloina;Kindb.;tuènolístek;Y;
348;V;10070;10087;10102;10112;10123;34;Aloina aloides;(Koch ex Schultz) Kindb.;tuènolístek aloeovitı;Y;NE
349;V;10070;10087;10102;10112;10123;36;Aloina aloides var. aloides;\N;tuènolístek aloeovitı pravı;V;DD-va
350;V;10070;10087;10102;10112;10123;36;Aloina aloides var. ambigua;(Bruch & Schimp.) E.J.Craig;tuènolístek aloeovitı vøesolistı;Y;EN
351;V;10070;10087;10102;10112;10123;34;Aloina bifrons;(De Not.) Delgad.;(bez èeského jména);N;NE
352;V;10070;10087;10102;10112;10123;34;Aloina brevirostris;(Hook. & Grev.) Kindb.;tuènolístek krátkolistı;Y;CR
353;V;10070;10087;10102;10112;10123;34;Aloina obliquifolia;(Müll.Hal.) Broth.;tuènolístek hrotolistı;Y;LC
354;V;10070;10087;10102;10112;10123;34;Aloina rigida;(Hedw.) Limpr.;tuènolístek tuhı;Y;LC
355;V;10070;10087;10124;10127;10144;28;Amblyodon;P.Beauv.;lahvovec;Y;
356;V;10070;10087;10124;10127;10144;34;Amblyodon dealbatus;(Hedw.) P.Beauv.;lahvovec jednostrannı;Y;CR
357;V;10070;10087;10124;10145;10170;28;Amblystegium;Schimp.;rokıtek;Y;
358;V;10070;10087;10124;10145;10170;34;Amblystegium serpens;(Hedw.) Schimp.;rokıtek obecnı;Y;LC
359;V;10070;10087;10102;10112;10115;28;Amphidium;Schimp.;pohárovec;Y;
360;V;10070;10087;10102;10112;10115;34;Amphidium lapponicum;(Hedw.) Schimp.;pohárovec laponskı;Y;EN
361;V;10070;10087;10102;10112;10115;34;Amphidium mougeotii;(Bruch & Schimp.) Schimp.;pohárovec Mougeotùv;Y;LC
362;V;10070;10087;10124;10145;10170;28;Anacamptodon;Brid.;paøezníèek;Y;
363;V;10070;10087;10124;10145;10170;34;Anacamptodon splachnoides;(Froel. ex Brid.) Brid.;paøezníèek celokrajnı;Y;EN
364;V;10070;10075;10076;10077;10078;28;Andreaea;Hedw.;štìrbovka;Y;
365;V;10070;10075;10076;10077;10078;34;Andreaea alpestris;(Thed.) Schimp.;štìrbovka horská;?;NE
366;V;10070;10075;10076;10077;10078;34;Andreaea crassinervia;Bruch;štìrbovka tlustoeberná;Y;CR
367;V;10070;10075;10076;10077;10078;34;Andreaea frigida;Huebener;štìrbovka mdlá;Y;CR
368;V;10070;10075;10076;10077;10078;34;Andreaea heinemannii;Hampe & Müll.Hal.;(bez èeského jména);N;NE
369;V;10070;10075;10076;10077;10078;34;Andreaea rothii;F.Weber & D.Mohr;štìrbovka Rothova;Y;NE
370;V;10070;10075;10076;10077;10078;35;Andreaea rothii subsp. rothii;\N;štìrbovka Rothova pravá;Y;EN
371;V;10070;10075;10076;10077;10078;35;Andreaea rothii subsp. falcata;(Schimp.) Lindb.;štìrbovka Rothova jednostranná;Y;LC-att
372;V;10070;10075;10076;10077;10078;34;Andreaea rupestris;Hedw.;štìrbovka skalní;Y;LC
373;V;10070;10087;10102;10112;10123;28;Anoectangium;Schwägr.;èíšnatka;Y;
374;V;10070;10087;10102;10112;10123;34;Anoectangium aestivum;(Hedw.) Mitt.;èíšnatka hustá;Y;EN
375;V;10070;10087;10124;10133;10134;28;Anomobryum;Schimp.;støecholistec;Y;
376;V;10070;10087;10124;10133;10134;34;Anomobryum concinnatum;(Spruce) Lindb.;støecholistec ladnı;Y;CR
377;V;10070;10087;10124;10145;10159;28;Anomodon;Hook. & Taylor;klaminka;Y;
378;V;10070;10087;10124;10145;10159;34;Anomodon attenuatus;(Hedw.) Huebener;klaminka ztenèená;Y;LC
379;V;10070;10087;10124;10145;10159;34;Anomodon longifolius;(Schleich. ex Brid.) Hartm.;klaminka dlouholistá;Y;LC
380;V;10070;10087;10124;10145;10159;34;Anomodon rostratus;(Hedw.) Schimp.;klaminka rozloená;V;DD-va
381;V;10070;10087;10124;10145;10159;34;Anomodon rugelii;(Müll.Hal.) Keissl.;klaminka tupolistá;Y;VU
382;V;10070;10087;10124;10145;10159;34;Anomodon viticulosus;(Hedw.) Hook. & Taylor;klaminka keøíèkovitá;Y;LC
383;V;10070;10087;10124;10145;10151;28;Antitrichia;Brid.;ilnatka;Y;
384;V;10070;10087;10124;10145;10151;34;Antitrichia curtipendula;(Hedw.) Brid.;ilnatka pøevislá;Y;LC-att
385;V;10070;10087;10102;10112;10117;28;Arctoa;Bruch & Schimp.;volnoústka;V;
386;V;10070;10087;10102;10112;10117;34;Arctoa fulvella;(Dicks.) Bruch & Schimp.;volnoústka plavá;V;RE
387;V;10070;10087;10102;10112;10113;28;Archidium;Brid.;úpolnièka;Y;
388;V;10070;10087;10102;10112;10113;34;Archidium alternifolium;(Dicks. ex Hedw.) Schimp.;úpolnièka støídavolistá;Y;CR
389;V;10070;10087;10102;10112;10123;28;Aschisma;Lindb.;nepukavka;N;
390;V;10070;10087;10102;10112;10123;34;Aschisma carniolicum;(F.Weber & D.Mohr) Lindb.;nepukavka krajinská;N;NE
391;V;10070;10079;10080;10081;10082;28;Atrichum;P.Beauv.;bezvláska;Y;
392;V;10070;10079;10080;10081;10082;34;Atrichum angustatum;(Brid.) Bruch & Schimp.;bezvláska úzkolistá;Y;EN
393;V;10070;10079;10080;10081;10082;34;Atrichum flavisetum;Mitt.;bezvláska Hausknechtova;Y;DD
394;V;10070;10079;10080;10081;10082;34;Atrichum tenellum;(Röhl.) Bruch & Schimp.;bezvláska útlá;Y;NT
395;V;10070;10079;10080;10081;10082;34;Atrichum undulatum;(Hedw.) P.Beauv.;bezvláska vlnkatá;Y;LC
396;V;10070;10087;10124;10138;10139;28;Aulacomnium;Schwägr.;klamonoka;Y;
397;V;10070;10087;10124;10138;10139;34;Aulacomnium androgynum;(Hedw.) Schwägr.;klamonoka hlávkoplodá;Y;LC
398;V;10070;10087;10124;10138;10139;34;Aulacomnium palustre;(Hedw.) Schwägr.;klamonoka bahenní;Y;LC
399;V;10070;10087;10102;10112;10123;28;Barbula;Hedw.;vousatìnka;Y;
400;V;10070;10087;10102;10112;10123;34;Barbula unguiculata;Hedw.;vousatìnka nehetnatá;Y;LC
401;V;10070;10087;10124;10129;10130;28;Bartramia;Hedw.;kulistec;Y;
402;V;10070;10087;10124;10129;10130;34;Bartramia halleriana;Hedw.;kulistec Hallerùv;Y;NT
403;V;10070;10087;10124;10129;10130;34;Bartramia ithyphylla;Brid.;kulistec rovnolistı;Y;LC-att
404;V;10070;10087;10124;10129;10130;34;Bartramia pomiformis;Hedw.;kulistec jablíèkovitı;Y;LC
405;V;10070;10087;10102;10107;10111;28;Blindia;Bruch & Schimp.;hruškoplodec;Y;
406;V;10070;10087;10102;10107;10111;34;Blindia acuta;(Hedw.) Bruch & Schimp.;hruškoplodec ostrı;Y;LC
407;V;10070;10087;10102;10107;10111;28;Blindiadelphus;(Lindb.) Fedosov & Ignatov;kápìnka;Y;
408;V;10070;10087;10102;10107;10111;34;Blindiadelphus campylopodus;(Kindb.) Fedosov & Ignatov;kápìnka køivoštìtá;Y;VU
409;V;10070;10087;10102;10107;10111;34;Blindiadelphus recurvatus;(Hedw.) Fedosov & Ignatov;kápìnka ohnutá;Y;LC
410;V;10070;10087;10102;10107;10110;28;Brachydontium;Fürnr.;malozubka;Y;
411;V;10070;10087;10102;10107;10110;34;Brachydontium trichodes;(F.Weber) Milde;malozubka vlasovitá;Y;LC-att
412;V;10070;10087;10124;10145;10168;28;Brachytheciastrum;Ignatov & Huttunen;baòatka;Y;
413;V;10070;10087;10124;10145;10168;34;Brachytheciastrum vanekii;(Šmarda) Ochyra & ¯arnowiec;baòatka Vaòkova;N;NE
414;V;10070;10087;10124;10145;10168;34;Brachytheciastrum velutinum;(Hedw.) Ignatov & Huttunen;baòatka aksamitová;Y;LC
415;V;10070;10087;10124;10145;10168;28;Brachythecium;Schimp.;baòatka;Y;
416;V;10070;10087;10124;10145;10168;34;Brachythecium albicans;(Hedw.) Schimp.;baòatka bìlavá;Y;LC
417;V;10070;10087;10124;10145;10168;34;Brachythecium campestre;(Müll.Hal.) Schimp.;baòatka ladní;Y;LC-att
418;V;10070;10087;10124;10145;10168;34;Brachythecium capillaceum;(F.Weber & D.Mohr) Giacom.;baòatka vláskovitá;V;DD-va
419;V;10070;10087;10124;10145;10168;34;Brachythecium cirrosum;(Schwägr.) Schimp.;hájovka tenkoeberná;N;NE
